Track Name,Artist(s) Name,Artist Count,Released Year,Released Month,Spotify Playlists Ranking,Spotify Charts Ranking,Spotify Streams,Apple Playlists Ranking,Apple Charts Ranking,Deezer Playlists Ranking,Deezer Charts Ranking,BPM,Key,Deezer Genre
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,553,147,141381703,43,263,45,10,125,B,Asian Music
LALA,Myke Towers,1,2023,3,1474,48,133716286,48,126,58,14,92,C#,Rap/Hip Hop
vampire,Olivia Rodrigo,1,2023,6,1397,113,140003974,94,207,91,14,138,F,Pop
Cruel Summer,Taylor Swift,1,2019,8,7858,100,800840817,116,207,125,12,170,A,Pop
WHERE SHE GOES,Bad Bunny,1,2023,5,3133,50,303236322,84,133,87,15,144,A,Latin Music
Sprinter,"Dave, Central Cee",2,2023,6,2186,91,183706234,67,213,88,17,141,C#,Rap/Hip Hop
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,3090,50,725980112,34,222,43,13,148,F,Traditional Mexicano
Columbia,Quevedo,1,2023,7,714,43,58149378,25,89,30,13,100,F,Reggaeton
fukumean,Gunna,1,2023,5,1096,83,95217315,60,210,48,11,130,C#,Rap/Hip Hop
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,2953,44,553634067,49,110,66,13,170,D,Rap/Hip Hop
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,2876,40,505671438,41,205,54,12,83,F#,Cumbia
Super Shy,NewJeans,1,2023,7,422,55,58255150,37,202,21,5,150,F,Asian Music
Daylight,David Kushner,1,2023,4,3528,98,387570742,80,156,182,24,130,D,Pop
Kill Bill,SZA,1,2022,12,8109,77,1163093654,183,162,161,12,89,G#,R&B
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,2942,77,496795686,91,212,78,6,120,B,Asian Music
Classy 101,"Feid, Young Miko",2,2023,3,2610,40,335222234,43,100,54,14,100,B,Rap/Hip Hop
Like Crazy,Jimin,1,2023,3,596,68,363369738,8,104,23,2,120,G,Asian Music
SABOR FRESA,Fuerza Regida,1,2023,6,250,26,78300654,16,149,10,5,130,G,Traditional Mexicano
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,859,40,61245289,35,109,41,14,122,F#,Rap/Hip Hop
Last Night,Morgan Wallen,1,2023,1,2420,19,429829812,52,107,15,1,204,F#,Country
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,2988,101,127408954,0,0,143,38,110,B,Pop
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,6036,88,843957510,113,149,245,23,98,C#,Rap/Hip Hop
Anti-Hero,Taylor Swift,1,2022,10,9082,56,999748277,242,142,165,9,97,E,Pop
TQG,"Karol G, Shakira",2,2023,2,4284,49,618990393,115,123,184,18,180,E,Rap/Hip Hop
Blank Space,Taylor Swift,1,2014,1,11434,53,1355959075,154,123,410,2,96,F,Pop
Style,Taylor Swift,1,2014,1,7830,42,786181836,94,111,151,4,95,D,Pop
TQM,Fuerza Regida,1,2023,5,584,28,176553476,16,159,15,6,125,F,Traditional Mexicano
El Azul,"Junior H, Peso Pluma",2,2023,2,692,25,354495408,10,107,6,3,144,A,Latin Music
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,24094,78,2808096550,372,117,843,4,90,D,Rap/Hip Hop
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,12482,80,1109433169,291,184,537,45,128,G,Dance
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,13387,64,1047101291,77,58,247,1,79,F#,Rap/Hip Hop
Angels Like You,Miley Cyrus,1,2020,11,3372,19,570515054,65,48,138,1,122,F,Pop
Die For You,The Weeknd,1,2016,11,2483,59,1647990401,68,21,24,0,134,C#,R&B
Starboy,"The Weeknd, Daft Punk",2,2016,9,29536,79,2565529693,281,137,2445,1,186,G,R&B
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,3408,47,518745108,87,86,74,1,67,C#,R&B
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,1298,38,107753850,44,64,57,10,106,A#,Rap/Hip Hop
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,4277,66,177740666,145,111,213,11,128,G,Dance
AMARGURA,Karol G,1,2023,2,1133,39,153372011,14,71,23,10,107,F#,Rap/Hip Hop
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,2259,59,57876440,0,0,109,17,130,G,Dance
Moonlight,Kali Uchis,1,2023,2,2649,42,256483385,67,79,57,1,137,G,R&B
La Bachata,Manuel Turizo,1,2022,5,6804,45,1214083358,139,111,161,15,125,G,Rap/Hip Hop
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,5184,41,156338624,154,84,102,14,133,F,Pop
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,3107,39,720434240,38,0,4,0,101,D,Pop
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,4053,50,357925728,82,121,182,12,95,F,Rap/Hip Hop
Hey Mor,"Ozuna, Feid",2,2022,10,4637,38,674072710,63,79,89,11,98,C#,Reggaeton
Yellow,Chris Molitor,1,1999,1,31358,43,1755214421,196,2,4053,5,173,B,Rock
Karma,Taylor Swift,1,2022,10,3818,23,404562836,37,55,32,0,90,G#,Pop
People,Libianca,1,2022,12,3506,56,373199958,105,64,169,8,198,A#,African Music
Overdrive,Post Malone,1,2023,7,410,36,14780425,36,32,31,1,140,C#,Pop
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,148,24,39578178,32,93,8,2,82,G#,Country
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,1004,35,54266102,42,80,58,3,130,C#,Latin Music
golden hour,JVKE,1,2022,7,4511,36,751134527,70,58,109,18,94,C#,Pop
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,8506,45,1356565093,94,65,164,14,128,D,Rap/Hip Hop
Viva La Vida,Coldplay,1,2008,1,33898,62,1592909789,233,0,4095,9,138,F,Rock
Here With Me,d4vd,1,2022,7,3246,23,635412045,94,85,68,1,132,E,Alternative
Yandel 150,"Yandel, Feid",2,2022,12,3618,38,585695368,47,74,80,14,168,F#,Reggaeton
Riptide,Vance Joy,1,1975,1,31123,55,2009094673,300,65,1003,1,102,C#,Alternative
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,2790,30,600976848,60,96,71,0,101,A#,Pop
Back To December (Taylor's Version),Taylor Swift,1,2023,7,139,17,39228929,16,72,5,0,142,D,Country
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,17050,36,2665343922,492,99,798,31,170,C#,Pop
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,2114,44,223633238,80,75,110,11,124,G#,Pop
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,8870,43,1440757818,104,120,141,26,92,C#,Latin Music
Makeba,Jain,1,2015,6,6060,53,165484133,150,148,2703,22,116,D,Pop
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,641,50,58054811,1,52,8,0,129,A,Electro
Fast Car,Luke Combs,1,2023,3,1446,12,157058870,57,97,35,0,98,G#,Country
What It Is (Solo Version),Doechii,1,2023,3,804,25,95131998,29,76,24,0,172,C#,R&B
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,1962,38,250305248,28,89,29,5,150,D,Latin Music
Still With You,Jung Kook,1,2020,6,31,39,38411956,2,107,8,0,88,C#,Asian Music
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,2175,23,144565150,69,145,69,2,143,D#,Rap/Hip Hop
Say Yes To Heaven,Lana Del Rey,1,2023,3,2000,46,127567540,49,105,63,1,100,F#,Alternative
Snooze,SZA,1,2022,12,2839,25,399686758,58,156,42,1,143,F,R&B
Summertime Sadness,Lana Del Rey,1,2011,1,20333,52,983637508,89,143,1632,3,112,C#,Alternative
Take Two,BTS,1,2023,6,674,47,118482347,20,106,25,4,93,G,Asian Music
Lover,Taylor Swift,1,2012,1,8448,23,882831184,160,110,163,0,206,G,Pop
Chemical,Post Malone,1,2023,4,2528,39,172825906,56,91,59,3,170,D,Pop
Mockingbird,Eminem,1,2004,1,12985,61,1241559043,49,98,2394,5,84,E,Pop
New Jeans,NewJeans,1,2023,7,77,35,29562220,8,166,4,4,134,E,Asian Music
Primera Cita,Carin Leon,1,2022,4,266,27,77309611,6,40,6,6,158,A#,Latin Music
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,21097,52,1605224506,384,135,1034,37,116,C#,Pop
Dandelions,Ruth B.,1,2017,4,3423,21,1116995633,41,100,59,1,117,C#,Singer & Songwriter
Bones,Imagine Dragons,1,2021,3,4198,44,838079900,98,108,327,17,114,F,Alternative
Set Fire to the Rain,Adele,1,2011,1,14739,43,1163620694,88,112,2163,5,108,D,Pop
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,26792,32,1093605526,69,113,695,0,144,E,Pop
Tak Segampang Itu,Anggi Marito,1,2022,12,213,6,179659294,7,6,0,0,130,F,Pop
Mine (Taylor's Version),Taylor Swift,1,2023,7,99,15,36912123,21,52,6,1,121,G,Country
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,41751,25,1205951614,101,32,2655,0,112,G,Rock
No Role Modelz,J. Cole,1,2014,12,21164,36,1791000570,80,65,476,0,100,A#,Rap/Hip Hop
Tattoo,Loreen,1,2023,2,2988,59,201660859,74,102,145,18,150,D#,Pop
Rara Vez,"Taiu, Milo j",2,2023,2,893,38,248088961,19,23,24,3,120,F,Rap/Hip Hop
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,1094,34,90839753,40,58,47,8,127,B,Pop
august,Taylor Swift,1,2020,7,7324,22,607123776,25,81,61,1,90,F,Alternative
LUNA,"Junior H, Peso Pluma",2,2023,6,201,11,55842345,19,117,8,1,128,A,Rap/Hip Hop
Nonsense,Sabrina Carpenter,1,2022,7,2346,27,342897938,69,12,38,8,139,G#,Pop
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,763,26,2762,21,110,21,9,162,A#,Traditional Mexicano
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,6074,52,1953533826,201,44,6551,2,146,D,Rap/Hip Hop
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,15032,30,2355719893,221,96,1078,2,115,E,Alternative
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,871,32,66902503,25,59,32,5,128,B,Latin Music
