Track Name,Artist(s) Name,Artist Count,Released Year,Released Month,In Spotify Playlists,Spotify Streams,In Apple Playlists,In Deezer Playlists,Deezer Genre
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,553,141381703,43,45,Asian Music
LALA,Myke Towers,1,2023,3,1474,133716286,48,58,Rap/Hip Hop
vampire,Olivia Rodrigo,1,2023,6,1397,140003974,94,91,Pop
Cruel Summer,Taylor Swift,1,2019,8,7858,800840817,116,125,Pop
WHERE SHE GOES,Bad Bunny,1,2023,5,3133,303236322,84,87,Latin Music
Sprinter,"Dave, Central Cee",2,2023,6,2186,183706234,67,88,Rap/Hip Hop
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,3090,725980112,34,43,Traditional Mexicano
Columbia,Quevedo,1,2023,7,714,58149378,25,30,Reggaeton
fukumean,Gunna,1,2023,5,1096,95217315,60,48,Rap/Hip Hop
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,2953,553634067,49,66,Rap/Hip Hop
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,2876,505671438,41,54,Cumbia
Super Shy,NewJeans,1,2023,7,422,58255150,37,21,Asian Music
Daylight,David Kushner,1,2023,4,3528,387570742,80,182,Pop
Kill Bill,SZA,1,2022,12,8109,1163093654,183,161,R&B
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,2942,496795686,91,78,Asian Music
Classy 101,"Feid, Young Miko",2,2023,3,2610,335222234,43,54,Rap/Hip Hop
Like Crazy,Jimin,1,2023,3,596,363369738,8,23,Asian Music
SABOR FRESA,Fuerza Regida,1,2023,6,250,78300654,16,10,Traditional Mexicano
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,859,61245289,35,41,Rap/Hip Hop
Last Night,Morgan Wallen,1,2023,1,2420,429829812,52,15,Country
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,2988,127408954,0,143,Pop
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,6036,843957510,113,245,Rap/Hip Hop
Anti-Hero,Taylor Swift,1,2022,10,9082,999748277,242,165,Pop
TQG,"Karol G, Shakira",2,2023,2,4284,618990393,115,184,Rap/Hip Hop
Blank Space,Taylor Swift,1,2014,1,11434,1355959075,154,410,Pop
Style,Taylor Swift,1,2014,1,7830,786181836,94,151,Pop
TQM,Fuerza Regida,1,2023,5,584,176553476,16,15,Traditional Mexicano
El Azul,"Junior H, Peso Pluma",2,2023,2,692,354495408,10,6,Latin Music
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,24094,2808096550,372,843,Rap/Hip Hop
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,12482,1109433169,291,537,Dance
